"pid","laddr","raddr","status"
"24127","192.168.1.5@58245","162.125.34.129@443","ESTABLISHED"
"24127","192.168.1.5@58323","199.59.149.200@443","ESTABLISHED"
"24127","192.168.1.5@58324","199.59.148.12@443","ESTABLISHED"
"24127","192.168.1.5@58325","108.160.172.206@443","ESTABLISHED"
"24127","192.168.1.5@58326","108.160.172.206@443","ESTABLISHED"
"24127","192.168.1.5@58327","108.160.172.206@443","ESTABLISHED"
"24127","192.168.1.5@58328","108.160.172.206@443","ESTABLISHED"
"24127","192.168.1.5@58104","74.125.28.188@5228","ESTABLISHED"
"24127","192.168.1.5@58329","108.160.172.206@443","ESTABLISHED"
"24127","192.168.1.5@58330","108.160.172.206@443","ESTABLISHED"
"24127","192.168.1.5@58331","216.58.194.163@443","ESTABLISHED"
"24127","192.168.1.5@58332","52.54.54.43@443","ESTABLISHED"
"24127","192.168.1.5@58334","216.58.192.8@443","ESTABLISHED"
"24127","192.168.1.5@58335","52.54.54.43@443","ESTABLISHED"
"24127","192.168.1.5@58356","172.217.5.102@443","ESTABLISHED"
"24127","192.168.1.5@58338","74.125.28.156@443","ESTABLISHED"
"24127","192.168.1.5@58345","172.217.5.110@443","ESTABLISHED"
"24127","192.168.1.5@58346","52.1.89.148@443","ESTABLISHED"
"24127","192.168.1.5@58350","52.84.246.214@443","ESTABLISHED"
"24127","192.168.1.5@58135","162.125.34.129@443","ESTABLISHED"
"24127","192.168.1.5@58349","23.197.99.208@443","ESTABLISHED"
"24127","192.168.1.5@58351","34.192.241.30@443","ESTABLISHED"
"24127","192.168.1.5@58352","52.84.246.214@443","ESTABLISHED"
"61","127.0.0.1@8254","127.0.0.1@49573","CLOSE_WAIT"
"61","127.0.0.1@8254","127.0.0.1@49573","CLOSE_WAIT"
"61","127.0.0.1@8254","127.0.0.1@58483","CLOSE_WAIT"
"61","127.0.0.1@8254","127.0.0.1@58483","CLOSE_WAIT"
"61","127.0.0.1@8254","127.0.0.1@52374","CLOSE_WAIT"
"61","::1@8254","::1@50209","CLOSE_WAIT"
"61","::1@8254","::1@50209","CLOSE_WAIT"
"61","127.0.0.1@8254","127.0.0.1@52374","CLOSE_WAIT"
"61","127.0.0.1@8254","127.0.0.1@50673","CLOSE_WAIT"
"61","127.0.0.1@8254","127.0.0.1@50673","CLOSE_WAIT"
"61","127.0.0.1@8254","127.0.0.1@63799","CLOSE_WAIT"
"61","127.0.0.1@8254","127.0.0.1@63799","CLOSE_WAIT"
"61","127.0.0.1@8254","127.0.0.1@60814","CLOSE_WAIT"
"61","127.0.0.1@8254","127.0.0.1@60814","CLOSE_WAIT"
"61","127.0.0.1@8254","127.0.0.1@50923","CLOSE_WAIT"
"61","127.0.0.1@8254","127.0.0.1@50923","CLOSE_WAIT"
"268","127.0.0.1@55134","127.0.0.1@55136","ESTABLISHED"
"268","127.0.0.1@55150","127.0.0.1@55152","ESTABLISHED"
"268","127.0.0.1@55158","127.0.0.1@55160","ESTABLISHED"
"268","127.0.0.1@55298","127.0.0.1@55300","ESTABLISHED"
"268","127.0.0.1@55321","127.0.0.1@55323","ESTABLISHED"
"268","127.0.0.1@56798","127.0.0.1@56800","ESTABLISHED"
"81","192.168.1.5@58101","17.188.134.202@5223","ESTABLISHED"
"81","192.168.1.5@58102","17.249.28.12@5223","ESTABLISHED"
"81","192.168.1.5@58101","17.188.134.202@5223","ESTABLISHED"
"81","192.168.1.5@58102","17.249.28.12@5223","ESTABLISHED"
"5832","127.0.0.1@55299","127.0.0.1@55297","CLOSE_WAIT"
"5832","127.0.0.1@55300","127.0.0.1@55298","ESTABLISHED"
"5757","127.0.0.1@55159","127.0.0.1@55157","CLOSE_WAIT"
"5757","127.0.0.1@55160","127.0.0.1@55158","ESTABLISHED"
"5744","127.0.0.1@55135","127.0.0.1@55133","CLOSE_WAIT"
"5744","127.0.0.1@55136","127.0.0.1@55134","ESTABLISHED"
"5842","127.0.0.1@55322","127.0.0.1@55320","CLOSE_WAIT"
"5842","127.0.0.1@55323","127.0.0.1@55321","ESTABLISHED"
"12954","127.0.0.1@56799","127.0.0.1@56797","CLOSE_WAIT"
"12954","127.0.0.1@56800","127.0.0.1@56798","ESTABLISHED"
"5754","127.0.0.1@55151","127.0.0.1@55149","CLOSE_WAIT"
"5754","127.0.0.1@55152","127.0.0.1@55150","ESTABLISHED"
"57298","169.254.236.9@60578","169.254.9.242@21","CLOSE"
